港区内認可保育園等一覧,Ver201612,,,,,,,,,,,,,,
施設種別,地区,保育園名,所在地,緯度,経度,種別,電話番号,入園可能月齢,短時間保育開始時間,短時間保育終了時間,標準時間開始時間,標準時間終了時間,延長保育対象月齢,延長保育,休園日
認可保育園,芝,芝保育園,東京都港区芝五丁目18番1-101号,35.6484,139.747716,区立,03-3455-4669,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,22：00まで,日・祝・年末年始
認可保育園,芝,神明保育園,東京都港区浜松町一丁目6番7号,35.658802,139.757421,区立,03-5733-6822,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,6：15から22：00まで,1歳の誕生日
認可保育園,芝,芝公園保育園,東京都港区芝公園二丁目7番3号,35.654291,139.750533,区立,03-3438-0435,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,芝,アスク芝公園保育園,東京都港区芝二丁目12番16号,35.651603,139.752593,私立,03-5439-9398,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,芝,太陽の子三田保育園,東京都港区三田一丁目2番18号　TTD PLAZAビル2階,35.655004,139.740635,私立,03-5439-6390,57日,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始
認可保育園,芝,グロ-バルキッズ虎ノ門保育園,東京都港区虎ノ門三丁目19番13号　虎ノ門スピリットビル3階,35.663091,139.74683,私立,03-6453-9325,57日,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始
認可保育園,芝,あい保育園赤羽橋,東京都港区三田一丁目3番31号　Forecast三田 2階,35.654526,139.74357,私立,03-5473-7668,57日,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始
認可保育園,麻布,南麻布保育園,東京都港区南麻布四丁目2番29-101号,35.647872,139.72407,区立,03-3442-8068,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,麻布,本村保育園,東京都港区南麻布丁目四丁目6番7号,35.651113,139.727587,区立,03-3444-2385,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,麻布,西麻布保育園,"東京都港区西麻布二丁目13番3号",35.660833,139.722718,区立,03-3409-4924,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,麻布,麻布保育園,東京都港区六本木五丁目16番46号,35.660657,139.735091,区立,03-5545-7135,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,麻布,飯倉保育園,東京都港区東麻布一丁目21番2号,35.655912,139.743532,区立,03-3583-1786,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,麻布,まなびの森保育園麻布,東京都港区南麻布一丁目8番11号　東町小学校内,35.650887,139.735832,私立,03-3455-3066,57日,8:30,16:30,7:15,18:15,1歳の誕生日 の翌日,20：15まで,日・祝・年末年始
認可保育園,麻布,あい保育園南麻布,東京都港区南麻布二丁目11番10号　OJビル3階,35.647686,139.735729,私立,03-6453-7970,57日,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始
認可保育園,麻布,太陽の子南麻布保育園,東京都港区南麻布四丁目11番30号　南麻布渋谷ビル　2階,35.646992,139.727149,私立,03-5488-8070,57日,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始
認可保育園,麻布,あい保育園元麻布,東京都港区元麻布三丁目2番19号　MOMON六本木ビル 2階,35.657381,139.727326,私立,03-6447-1871,57日,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始
認可保育園,麻布,まちの保育園六本木,東京都港区六本木一丁目9番10号　アークヒルズ仙石山森タワー,35.663588,139.741813,私立,03-6441-2478,57日,9:00,17:00,7:30,18:30,1歳の誕生日 を過ぎた翌月 1日,20：30まで,日・祝・年末年始
認可保育園,麻布,まちの保育園六本木分園,東京都港区六本木一丁目9番10号　アークヒルズ仙石山森タワー,35.663636,139.74188,私立,03-6450-1726,57日,9:00,17:00,7:30,18:30,1歳の誕生日 を過ぎた翌月 1日,20：30まで,日・祝・年末年始
認可保育園,赤坂,赤坂保育園,東京都港区赤坂五丁目5番26-101号,35.671125,139.734061,区立,03-3583-2156,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,赤坂,南青山保育園,東京都港区南青山一丁目3番15号,35.671188,139.725527,区立,03-3401-1650,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,赤坂,青山保育園,東京都港区北青山三丁目4番14-101号,35.668127,139.71402,区立,03-3401-1723,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,赤坂,赤坂ちとせ保育園,東京都港区赤坂四丁目7番15号　陽栄光和ビル1階,35.675503,139.734069,私立,03-6459-1012,57日,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始
認可保育園,赤坂,太陽の子赤坂保育園,東京都港区赤坂八丁目12番16号　NOZYAKASAKA1階、2階、3階,35.669165,139.729383,私立,03-6434-9431,57日,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始
認可保育園,赤坂,あい保育園青山一丁目,東京都港区南青山一丁目3番1号　パークアクシス青山一丁目タワー2階,35.671674,139.725591,私立,03-6459-2860,57日,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始
認可保育園,赤坂,太陽の子南青山保育園,東京都港区南青山四丁目1番6号　セブン南青山1階、2階,35.667301,139.719068,私立,03-5413-5512,57日,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始
認可保育園,赤坂,小学館アカデミ-南青山保育園,東京都港区南青山四丁目15番8号　南青山246ビル,35.66495,139.718306,私立,03-5770-1512,57日,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始
認可保育園,高輪,伊皿子坂保育園,東京都港区三田四丁目19番30号,35.640411,139.738726,区立,03-3444-7601,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,高輪,高輪保育園,東京都港区高輪三丁目18番15号,35.633207,139.735724,区立,03-3449-1641,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,高輪,白金保育園,東京都港区白金三丁目10番12号,35.644936,139.731076,区立,03-3441-5076,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,高輪,太陽の子三田五丁目保育園,東京都港区三田五丁目4番3号　三田プラザビル3階,35.647706,139.738902,私立,03-5439-6775,57日,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始
認可保育園,高輪,みなと保育園,東京都港区高輪一丁目6番9号,35.642366,139.735335,私立,03-3443-3406,43日,9:00,17:00,7:30,18:30,43日,19：30まで,日・祝・年末年始
認可保育園,高輪,愛星保育園,東京都港区高輪一丁目27番40号,35.63676,139.731967,私立,03-3441-5410,3か月,9:00,17:00,7:00,18:00,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,高輪,ゆらりん高輪保育園,東京都港区高輪一丁目5番38号　HUG高輪1階、2階,35.641758,139.736717,私立,03-5422-6170,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,高輪,高輪夢保育園,東京都港区高輪三丁目25番33号　長田ビル3階,35.631944,139.737918,私立,03-5791-9680,57日,9:15,17:15,7:15,18:15,満5か月,20：15まで,日・祝・年末年始
認可保育園,高輪,ゆらりん白金保育園,東京都港区白金一丁目26番10号　白金K-FLAT 1階、2階の一部,35.643907,139.733517,私立,03-6409-6310,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,高輪,みつばち保育園,東京都港区白金四丁目7番2号,35.642807,139.727554,私立,03-3444-8767,43日,9:00,17:00,7:15,18:15,43日,19：15まで,日・祝・年末年始
認可保育園,高輪,ニチイキッズ白金台保育園,東京都港区白金台二丁目26番10号　グリーンオーク高輪台　2階,35.631759,139.729917,私立,03-5791-2161,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,芝浦港南,しばうら保育園,東京都港区芝浦三丁目1番16号,35.645136,139.750214,区立,03-5232-1130,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,22：00まで,年末年始
認可保育園,芝浦港南,こうなん保育園,東京都港区港南四丁目2番3-101号,35.629827,139.747918,区立,03-3450-3800,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,芝浦港南,台場保育園,東京都港区台場一丁目5番1号,35.630085,139.777068,区立,03-5781-0255,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,22：00まで,年末年始
認可保育園,芝浦港南,たかはま保育園,東京都港区港南四丁目3番7号,35.631151,139.749972,区立,03-5500-2360,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,芝浦港南,太陽の子シ-バンス保育園,東京都港区芝浦一丁目2番2号　シーバンスアモール3階,35.649696,139.756524,私立,03-5439-4014,57日,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始
認可保育園,芝浦港南,太陽の子芝浦一丁目保育園,東京都港区芝浦一丁目9番7号　芝浦おもだかビル2階、3階,35.648178,139.753541,私立,03-5439-5251,57日,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始
認可保育園,芝浦港南,アンジェリカ田町保育園,東京都港区芝浦一丁目6番41号　グローバルフロントタワー1階,35.647586,139.75497,私立,03-6435-2157,57日,9:00,17:00,7:30,18:30,57日,20：30まで,日・祝・年末年始
認可保育園,芝浦港南,にじのいるか保育園芝浦,東京都港区芝浦二丁目3番31号　高取ビル 2階,35.644138,139.754543,私立,03-6435-3804,57日,9:00,17:00,7:15,18:15,"1歳の誕生日を過ぎた翌月1 日",20：15まで,日・祝・年末年始
認可保育園,芝浦港南,太陽の子芝浦二丁目保育園,東京都港区芝浦二丁目17番9号　大友ビル1階,35.644917,139.752268,私立,03-5418-7767,57日,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始
認可保育園,芝浦港南,太陽の子芝浦三丁目保育園,東京都港区芝浦三丁目20番2号　山楽ビル2階3階,35.642236,139.746501,私立,03-5439-6206,57日,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始
認可保育園,芝浦港南,アスク芝浦4丁目保育園,東京都港区芝浦四丁目12番28号,35.639594,139.749084,私立,03-6435-2855,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,芝浦港南,ゆらりん港南保育園,東京都港区港南一丁目6番27号　SSJ品川ビル2F,35.62962,139.745437,私立,03-6712-1188,57日,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
認可保育園,芝浦港南,グロ-バルキッズ港南保育園,東京都港区港南四丁目1番8号　リバージュ品川2階,35.629617,139.746672,私立,03-3450-6130,57日,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始
認可保育園,芝浦港南,ベネッセ港南保育園,東京都港区港南四丁目6番7号,35.627761,139.750726,私立,03-5783-5871,57日,9:00,17:00,7:00,18:00,1歳の誕生日,22：00まで,日・祝・年末年始
認定こども園,芝浦港南,芝浦アイランドこども園,東京都港区芝浦四丁目20番1号,35.640426,139.752365,区立,03-5443-7337,57日,9:00,17:00,7:15,18:15,1歳の誕生日,22：00まで,年末年始
小規模保育施設,赤坂,こいくえん赤坂,東京都港区赤坂四丁目14番14号,35.6734406,139.7313922,私立,03-6277-8555,3か月,9:00,17:00,7:30,18:30,1歳の誕生日,19：30まで,日・祝・年末年始
小規模保育施設,芝浦港南,港南あおぞら保育園,東京都港区港南三丁目8番1号　森永乳業港南ビル1階,35.6320239,139.7500836,私立,03-6712-1988,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
港区保育室,芝,芝五丁目保育室,東京都港区芝五丁目36番4号（2015年11月1日開設）,35.644993,139.745252,委託,03-6435-2088,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
港区保育室,芝,浜松町二丁目保育室,東京都港区浜松町二丁目3番20号,35.654962,139.755449,委託,03-6435-9507,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
港区保育室,芝,愛宕保育室,東京都港区愛宕一丁目7番5号,35.66452,139.749401,委託,03-3433-2671,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
港区保育室,麻 布,南麻布三丁目保育室,東京都港区南麻布三丁目5番15号,35.651044,139.730423,委託,03-3443-5711,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
港区保育室,麻 布,東麻布保育室,東京都港区東麻布二丁目1番1号,35.658203,139.742559,委託,03-3584-3811,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
港区保育室,赤 坂,青南保育室,東京都港区南青山四丁目19番18号,35.66396,139.716584,委託,03-5770-3933,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
港区保育室,赤 坂,第二青南保育室,東京都港区南青山四丁目19番5号,35.664202,139.716788,委託,03-5770-5366,3ヴ月,9:00,17:00,7:15,18:15,１歳の誕生日,20：15まで,日・祝・年末年始
港区保育室,高 輪,桂坂保育室,東京都港区高輪三丁目19番36号,35.633431,139.737205,委託,03-5475-6646,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
港区保育室,高 輪,志田町保育室,東京都港区白金一丁目11番16号,35.645795,139.73367,委託,03-6277-2582,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
港区保育室,芝浦港南,たまち保育室,東京都港区芝浦三丁目4番1号　グランパークプラザ棟,35.643735,139.745528,委託,03-5484-6088,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
港区保育室,芝浦港南,芝浦橋保育室,東京都港区芝浦四丁目6番8号　田町ファーストビル2階,35.638959,139.74483,委託,03-6865-1004,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
港区保育室,芝浦港南,港南四丁目保育室,東京都港区港南四丁目2番4号,35.630213,139.747604,委託,03-5796-8863,3か月,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始
